"","age","gender","employment","marital_status","treatment","correction"
"505",34,"Female",0,0,"control",1
"506",35,"Male",1,1,"control",0
"507",34,"Female",0,0,"control",0
"508",40,"Male",1,1,"responsibility",1
"509",72,"Male",0,1,"control",0
"510",25,"Female",1,0,"control",1
"511",30,"Female",0,0,"acceptability",0
"512",78,"Male",0,1,"acceptability",0
"513",70,"Male",0,0,"control",0
"514",60,"Male",0,0,"acceptability",1
"515",25,"Male",0,0,"responsibility",1
"516",56,"Male",0,0,"control",0
"517",57,"Male",1,0,"control",1
"518",59,"Male",0,0,"acceptability",1
"519",73,"Male",0,1,"responsibility",0
"520",72,"Male",0,1,"responsibility",0
"521",58,"Male",0,1,"control",0
"522",52,"Male",0,0,"responsibility",0
"523",34,"Male",1,1,"acceptability",1
"524",65,"Male",0,0,"acceptability",1
"525",81,"Male",0,0,"responsibility",0
"526",63,"Male",0,0,"acceptability",1
"527",54,"Male",1,0,"responsibility",1
"528",59,"Male",0,0,"acceptability",0
"529",78,"Male",0,1,"acceptability",1
"530",68,"Male",0,0,"control",1
"531",68,"Male",0,0,"responsibility",1
"532",36,"Male",1,0,"acceptability",0
"533",77,"Male",0,1,"responsibility",1
"534",42,"Male",1,0,"acceptability",0
"535",50,"Male",1,1,"control",1
"536",73,"Male",1,0,"control",1
"537",55,"Male",1,0,"responsibility",1
"538",25,"Male",1,0,"acceptability",1
"539",57,"Male",0,0,"responsibility",1
"540",60,"Male",0,0,"control",0
"541",42,"Male",0,0,"control",0
"542",33,"Male",0,0,"responsibility",0
"543",36,"Male",1,0,"control",1
"544",25,"Male",0,0,"responsibility",1
"545",62,"Male",0,1,"control",1
"546",50,"Male",0,1,"control",1
"547",68,"Male",0,1,"responsibility",0
"548",64,"Male",1,0,"control",1
"549",47,"Male",1,1,"control",0
"550",31,"Male",1,0,"acceptability",0
"551",79,"Male",0,0,"acceptability",1
"552",76,"Male",0,1,"acceptability",1
"553",52,"Male",1,1,"acceptability",0
"554",53,"Male",0,1,"responsibility",1
"555",66,"Male",0,1,"control",1
"556",23,"Male",0,0,"acceptability",1
"557",51,"Male",0,1,"control",1
"558",80,"Male",0,0,"acceptability",0
"559",41,"Male",1,0,"acceptability",1
"560",19,"Male",0,0,"acceptability",0
"561",63,"Male",1,0,"responsibility",1
"562",40,"Male",0,0,"acceptability",1
"563",52,"Male",1,0,"acceptability",1
"564",73,"Male",1,0,"control",0
"565",71,"Male",0,1,"control",1
"566",65,"Male",0,1,"control",0
"567",78,"Male",0,1,"control",0
"568",57,"Male",1,1,"acceptability",1
"569",32,"Male",1,1,"responsibility",0
"570",50,"Male",1,0,"responsibility",0
"571",28,"Male",0,0,"responsibility",0
"572",34,"Male",1,0,"acceptability",0
"573",67,"Male",0,1,"control",1
